id,Project,TeamExp,ManagerExp,YearEnd,Length,Effort,Transactions,Entities,PointsNonAdjust,Adjustment,PointsAjust,Language,source,deadline_missed
825,825,1,-1,87,5,3380,72,61,158,33,129,1,synthetic,0
826,826,4,4,85,6,1421,172,52,172,14,129,2,synthetic,0
827,827,1,1,85,8,8666,159,233,457,38,508,3,synthetic,1
828,828,0,2,85,15,4118,465,134,686,35,640,2,synthetic,0
829,829,-1,0,87,13,2834,141,47,255,34,228,2,synthetic,0
830,830,2,1,85,13,7284,307,133,663,28,599,1,synthetic,1
831,831,1,0,88,4,724,41,32,82,14,63,1,synthetic,0
832,832,4,2,86,9,4358,44,38,108,34,108,1,synthetic,0
833,833,2,4,87,10,3925,407,37,280,50,308,2,synthetic,1
834,834,4,3,86,12,4339,42,81,98,33,99,1,synthetic,1
835,835,3,4,86,9,7975,170,144,332,38,318,3,synthetic,1
836,836,4,1,85,5,3926,100,74,227,27,193,1,synthetic,1
837,837,4,6,85,37,8167,465,111,493,14,452,2,synthetic,0
838,838,1,1,86,5,3398,99,41,148,14,105,1,synthetic,1
839,839,-1,-1,85,8,688,42,47,100,31,103,1,synthetic,0
840,840,1,3,85,14,3295,64,105,194,14,153,2,synthetic,1
841,841,1,0,88,9,3945,76,184,188,24,150,1,synthetic,0
842,842,1,1,87,27,4664,771,125,706,36,706,1,synthetic,0
843,843,1,0,87,5,2392,44,70,142,23,115,1,synthetic,0
844,844,1,4,85,6,6699,453,110,510,35,626,1,synthetic,1
845,845,1,1,85,4,2584,139,33,139,15,95,2,synthetic,0
846,846,3,2,86,9,1216,108,52,160,24,136,3,synthetic,1
847,847,1,0,87,22,5408,199,238,656,17,631,1,synthetic,0
848,848,1,1,85,5,946,86,31,115,18,107,2,synthetic,0
849,849,1,1,86,12,2253,103,44,147,6,103,2,synthetic,1
850,850,1,4,85,17,2630,92,347,512,17,411,3,synthetic,0
851,851,1,3,85,6,598,41,48,81,10,68,3,synthetic,0
852,852,1,3,86,12,3813,273,119,456,24,399,2,synthetic,1
853,853,0,1,87,14,12090,434,51,414,19,331,1,synthetic,1
854,854,1,4,87,5,3760,47,72,99,6,82,1,synthetic,1
855,855,4,7,85,15,9183,226,251,464,35,554,1,synthetic,1
856,856,1,2,87,8,5435,87,119,303,39,310,2,synthetic,1
857,857,2,3,87,17,15173,90,126,291,29,265,2,synthetic,1
858,858,0,1,86,4,5685,123,87,246,39,269,2,synthetic,1
859,859,4,3,85,9,5927,112,123,272,40,262,2,synthetic,1
860,860,4,3,84,15,9584,489,307,956,50,966,1,synthetic,1
861,861,2,4,85,16,3870,207,122,321,40,328,2,synthetic,1
862,862,4,1,87,8,3832,222,117,332,28,311,1,synthetic,0
863,863,3,1,86,6,4018,70,243,325,14,245,1,synthetic,1
864,864,-1,0,86,12,3129,204,39,221,18,183,1,synthetic,0
865,865,2,1,85,5,3986,145,132,297,33,292,3,synthetic,1
866,866,2,3,86,27,14909,701,236,776,39,677,1,synthetic,1
867,867,1,1,85,8,8617,51,273,204,15,200,2,synthetic,1
868,868,4,4,83,17,18583,402,229,669,52,696,1,synthetic,1
869,869,1,1,85,3,1246,19,55,90,14,84,1,synthetic,0
870,870,0,4,86,14,1402,635,51,382,10,288,3,synthetic,0
871,871,2,3,86,8,4023,123,41,153,6,99,2,synthetic,0
872,872,1,2,86,17,3548,327,75,425,23,398,1,synthetic,1
873,873,4,3,85,6,2174,97,138,186,25,194,1,synthetic,0
874,874,2,4,87,13,3502,188,101,295,32,290,3,synthetic,0
875,875,1,1,85,18,754,148,50,173,20,162,1,synthetic,1
876,876,3,-1,86,18,4793,285,173,425,40,453,2,synthetic,1
877,877,-1,3,85,5,873,74,52,146,18,101,1,synthetic,0
878,878,1,2,86,28,7580,490,145,553,33,563,1,synthetic,1
879,879,3,4,85,15,10454,123,155,276,34,312,1,synthetic,0
880,880,4,1,85,11,6010,46,374,320,14,235,2,synthetic,1
881,881,2,3,84,16,9341,257,220,552,52,537,2,synthetic,1
882,882,2,3,83,15,3104,59,122,208,36,186,1,synthetic,0
883,883,4,7,84,12,1580,83,85,212,14,197,2,synthetic,0
884,884,1,-1,86,14,1292,115,318,421,11,330,2,synthetic,0
885,885,2,3,85,15,2738,403,90,435,25,454,3,synthetic,1
886,886,2,3,85,5,1008,131,41,143,15,121,1,synthetic,0
887,887,1,2,84,9,789,45,73,105,25,112,1,synthetic,0
888,888,4,5,88,12,5476,120,363,621,29,634,2,synthetic,0
889,889,4,4,86,8,5329,138,121,279,19,252,1,synthetic,1
890,890,4,3,87,24,4901,109,178,284,39,293,1,synthetic,0
891,891,4,7,84,13,8846,103,332,461,37,472,2,synthetic,1
892,892,-1,0,85,5,843,94,37,104,6,84,1,synthetic,1
893,893,4,3,86,9,2840,134,108,167,38,198,1,synthetic,0
894,894,1,0,85,6,1642,117,29,97,36,96,1,synthetic,0
895,895,4,4,87,4,2627,89,59,159,35,153,2,synthetic,1
896,896,4,4,86,5,1581,469,73,550,41,656,1,synthetic,0
897,897,3,3,85,4,1616,169,43,176,37,173,3,synthetic,0
898,898,1,1,82,5,822,48,102,143,18,109,2,synthetic,0
899,899,4,4,86,21,8284,201,95,409,25,353,1,synthetic,1
900,900,4,3,85,19,12297,630,127,522,37,572,1,synthetic,1
901,901,2,2,88,3,2361,255,59,313,36,299,1,synthetic,1
902,902,4,4,86,9,2327,98,96,209,28,210,2,synthetic,0
903,903,4,4,86,11,2275,97,93,164,36,154,1,synthetic,0
904,904,3,4,87,8,3902,121,95,248,39,246,3,synthetic,0
905,905,4,0,86,17,14032,247,171,464,50,529,1,synthetic,1
906,906,4,1,86,10,3846,98,103,166,38,185,1,synthetic,1
907,907,3,3,84,5,2391,43,92,101,28,96,1,synthetic,1
908,908,1,3,85,6,2373,43,112,188,41,215,2,synthetic,0
909,909,4,1,85,21,14205,204,333,512,35,625,1,synthetic,1
910,910,1,4,84,5,885,50,76,124,6,93,1,synthetic,0
911,911,2,1,85,5,8743,80,99,172,32,179,2,synthetic,1
912,912,4,3,85,5,5005,117,242,282,35,307,2,synthetic,1
913,913,2,2,85,12,2911,116,78,186,35,187,2,synthetic,0
914,914,3,4,86,9,2523,82,89,152,16,112,2,synthetic,1
915,915,4,0,84,9,14535,193,244,428,38,388,2,synthetic,1
916,916,3,1,86,6,2294,276,185,481,28,413,1,synthetic,1
917,917,3,4,85,10,654,126,95,218,18,180,1,synthetic,0
918,918,2,1,85,17,4234,78,40,157,35,137,2,synthetic,1
919,919,1,1,86,5,1581,23,47,77,24,69,1,synthetic,0
920,920,4,4,86,22,9033,217,120,404,42,472,2,synthetic,1
921,921,4,1,85,5,4303,126,192,335,35,308,1,synthetic,1
922,922,0,0,86,14,9200,257,51,274,24,235,1,synthetic,1
923,923,1,1,87,9,2525,293,43,229,12,159,1,synthetic,0
924,924,1,0,85,15,9902,220,311,599,29,499,1,synthetic,0
925,925,4,4,87,12,2340,191,57,260,40,257,2,synthetic,0
926,926,0,0,86,14,5913,175,100,282,22,294,1,synthetic,1
927,927,1,1,86,6,2344,97,76,109,17,97,1,synthetic,0
928,928,4,2,84,12,14339,87,246,282,34,305,3,synthetic,1
929,929,1,6,86,16,9426,316,71,365,35,380,1,synthetic,0
930,930,4,4,87,32,8125,130,181,452,13,303,2,synthetic,0
931,931,2,2,83,10,6980,127,46,227,23,178,3,synthetic,1
932,932,4,3,86,12,5878,303,100,464,18,400,3,synthetic,1
933,933,1,4,85,13,2403,185,123,399,14,323,3,synthetic,0
934,934,2,3,87,13,1540,162,55,210,14,153,1,synthetic,0
935,935,-1,-1,86,4,2527,70,47,148,26,132,3,synthetic,1
936,936,1,3,83,9,2563,165,51,274,23,271,2,synthetic,1
937,937,4,4,85,6,2874,162,128,308,26,279,2,synthetic,1
938,938,1,1,85,21,7291,148,95,291,16,241,1,synthetic,1
939,939,3,4,87,16,3589,314,89,324,28,342,3,synthetic,0
940,940,2,3,86,26,3545,84,54,171,23,168,2,synthetic,0
941,941,3,2,87,10,3873,53,385,345,26,331,2,synthetic,1
942,942,4,3,87,8,3847,166,59,291,33,294,1,synthetic,0
943,943,4,4,86,14,8840,123,183,322,28,340,1,synthetic,0
944,944,0,0,86,15,9766,124,234,422,31,433,3,synthetic,1
945,945,0,3,85,17,8888,220,120,375,34,424,1,synthetic,1
946,946,4,1,84,10,2355,83,133,240,51,290,1,synthetic,0
947,947,2,3,86,6,2617,219,80,276,23,194,2,synthetic,0
948,948,2,4,83,4,1636,99,32,98,14,85,1,synthetic,1
949,949,2,3,86,9,3733,314,185,430,41,428,1,synthetic,1
950,950,2,2,88,11,3989,102,74,187,33,192,1,synthetic,1
951,951,4,3,86,13,8466,318,130,443,38,452,1,synthetic,1
952,952,2,4,87,15,3688,186,75,294,26,275,1,synthetic,0
953,953,2,2,86,9,3980,116,211,386,19,347,1,synthetic,0
954,954,1,1,85,28,7377,310,190,533,25,416,1,synthetic,1
955,955,1,-1,84,10,16240,214,76,295,38,257,2,synthetic,1
956,956,4,4,85,6,3334,297,216,724,25,711,3,synthetic,0
957,957,2,1,85,12,2871,167,44,191,33,184,1,synthetic,0
958,958,2,4,85,19,2512,237,78,304,32,290,1,synthetic,0
959,959,1,-1,85,5,5716,129,43,170,18,122,1,synthetic,1
960,960,3,1,86,17,6016,195,122,394,39,429,2,synthetic,0
961,961,3,3,86,14,3798,158,100,293,24,261,3,synthetic,0
962,962,4,4,86,6,4789,102,184,258,34,259,1,synthetic,1
963,963,0,3,85,16,5013,464,97,507,7,508,1,synthetic,0
964,964,4,3,84,4,2487,37,103,126,17,110,2,synthetic,1
965,965,4,4,86,12,1620,217,60,232,36,260,2,synthetic,1
966,966,2,5,87,13,3121,98,238,331,26,307,1,synthetic,1
967,967,1,4,86,8,2465,227,175,453,17,353,2,synthetic,0
968,968,2,3,86,6,3787,133,40,131,25,106,2,synthetic,1
969,969,4,4,88,8,3178,97,125,255,42,290,3,synthetic,0
970,970,4,4,86,8,13631,203,120,438,52,511,1,synthetic,0
971,971,1,2,85,13,11929,311,166,573,35,628,3,synthetic,1
972,972,2,3,86,9,3178,111,182,276,17,298,1,synthetic,0
973,973,4,0,85,6,892,48,9,77,14,62,2,synthetic,1
974,974,0,1,87,6,6259,311,128,438,49,437,2,synthetic,1
975,975,0,1,86,31,8239,283,77,380,34,361,1,synthetic,1
976,976,1,1,87,4,2214,49,39,89,16,81,2,synthetic,1
977,977,3,3,84,9,3693,74,120,209,14,172,1,synthetic,0
978,978,1,2,86,16,10386,251,121,477,36,452,1,synthetic,1
979,979,1,-1,88,8,3392,273,94,378,27,353,1,synthetic,1
980,980,1,4,87,4,2305,32,60,101,12,82,1,synthetic,0
981,981,4,3,86,8,3213,535,130,666,39,696,1,synthetic,1
